MasterYear,Form Number,District,OperatorNumber,DateofLoss,Type_Company_Cd,County,LeaseNumber,Gasident,CommNbr,TypeLiquid,GrossLoss,Recovered,Net Loss,Facility,CauseofLoss,Remedy,Water,WaterName,Location,Remarks,LeaseName,FieldNumber
2009,5,7C,COG OPERATING LLC,1/2/2009,Producer,UPTON,16093,0,0,Crude,155,110,45,Tank Battery,Human Error - Other,Other,None,,"SECTION 23, BLOCK Y, GC &SF RR CO","VACUUMED FREE FLUID, AREA WILL BE REMEDIATED BY ENVIRO. FIRM.",JESSICA13SW,SPRABERRY (TREND AREA)
2009,1,6,"PETRO-HUNT, L.L.C.",1/2/2009,Producer,WOOD,1337,0,0,Crude,2,0,2,Flow Line,Equipment Failure,Other,None,,S.J. WHITE WELL #11,PLANNING SITE REMEDIATION,"WHITE, S. J., ETAL",QUITMAN
2009,58,8,CIMAREX ENERGY CO. OF COLORADO,1/3/2009,Producer,CRANE,25148,0,0,Crude,200,180,20,Tank Battery,Equipment Failure,Other,None,,"SECTION 3, BLOCK B-27, PUBLIC SCHOOL LAND, SVY, A-935",PICKED UP FREE FLUIDS AND REMEDIATED AREA,"TUBB-STATE, J.B.",SAND HILLS (MCKNIGHT)
2009,451,6,EXXON MOBIL CORPORATION,1/3/2009,Producer,TITUS,0,0,349,Crude,1,1,0,Other,Equipment Failure,Other,None,,LAT. N 33.35.033 LONG W 095.11.764,FREE FLUID PICKED UP. SITE HAS BEEN REMEDIATED.,SOUTHWEST NENA LUCIA UNIT,NO FIELD NAME
2009,70,8A,"SANDRIDGE TERTIARY, LLC",1/4/2009,Producer,GAINES,66220,0,0,Crude,75,50,25,Tank Battery,Equipment Failure,Other,None,,GEORGE ALLEN UNIT CENTRAL BATTERY,RECOVERED 50 BBL. SOIL REMEDIATION PLAN IN PROGRESS,GEORGE ALLEN UNIT,GEORGE ALLEN (SAN ANDRES)
2009,27,8,OK ARENA OPERATING COMPANY,1/4/2009,Producer,ANDREWS,21365,0,0,Crude,400,350,50,Flow Line,Other,Other,None,,"SEC. 8, BLK 10 UNIVERSITY LANDS",SOIL HAS BEEN REMEDIATED.,SOUTH FUHRMAN MASCHO UNIT,FUHRMAN-MASCHO
2009,147,6,"MARKWEST ENERGY E TX GAS CO, LLC",1/5/2009,Transporter,PANOLA,5402,0,0,Gas Well Liquid,5,5,0,Other,Other,Other,None,,PANOLA COUNTY; J. SPENCER SURVEY A-589,REMEDIATION PLAN IN PROGRESS,"OBERTHIER, R. C. ET. AL.","HENDERSON, E. (TRAVIS PEAK)"
2009,672,10,NOBLE ENERGY INC,1/5/2009,Producer,HEMPHILL,0,202313,0,Gas Well Liquid,158,150,8,Valve,Act of God,Other,None,,SEC.41. BLK M1 - N&GN SURVEY,VALVE FROZE & BROKE. PERFEX ENERGY TO REMEDIATE.,HEFLEY,BUFFALO WALLOW (GRANITE WASH)
2009,2,3,"ENERVEST OPERATING, L.L.C.",1/7/2009,Producer,LEE,0,242131,0,Crude,10,10,0,Other,Equipment Failure,Other,None,,AR STEPHENS A-19,FACILITY WAS EMERGENCY FLARE PIT. SOIL REMEDIATED.,"WHITE, S. J., ETAL",NO FIELD NAME
2009,146,5,XTO ENERGY INC.,1/8/2009,Producer,LIMESTONE,0,181963,0,Products,350,350,0,Other,Company Human Error,Other,Stock Tank,STOCKTANK,MANUEL C. REJON SURVEY A-26 LOC.20735'FNWL 17740'FSWL A-26,SOIL AND WATER REMEDIATED.,KELLOGG,BALD PRAIRIE (CV CONSOLIDATED)
2009,153,10,"CHESAPEAKE OPERATING, INC.",1/8/2009,Producer,WHEELER,0,246839,0,Crude,20,12,8,Other,Equipment Failure,Other,None,,"SECTION 2, BLOCK 3, B&B, A-875, 550 FSL & 550 FWL",FREE FLUID RECOVERED. PREFEX ENERGY TO REMEDIATE SITE.,LOTT 2,B & B (GRANITE WASH)
2009,51,7C,"PIONEER NATURAL RES. USA, INC.",1/9/2009,Producer,UPTON,16754,0,0,Crude,39,0,39,Tank Battery,Equipment Failure,Other,None,,31.16033 N 101.80585 W,FIRE STARTED DUE TO STATIC ELEC.AND BURNED FLUID.NO IMPACT TO SOIL,UNIVERSITY 4-20A,SHEEP MOUNTAIN (CONSOLIDATED)
2009,11,6,"EVERGREEN OPERATING CO., LTD.",1/10/2009,Producer,HARRISON,2647,0,0,Crude,8,7,1,Tank Battery,Equipment Failure,Other,None,,A.L. TURNER LEASE,SITE REMEDIATED. NO OIL OR WATER LEFT ON SITE.,"TURNER, A. L.",PANOLA
2009,552,8,APACHE CORPORATION,1/11/2009,Producer,CRANE,20377,0,0,Crude,5,4,1,Flow Line,Equipment Failure,Repaired Existing Equipment,None,,AROUND INJECTION LINE IN PASTURE,FIXED INJECTION LINE AND REMEDIATED AREA.,NORTH MCELROY UNIT,MCELROY
