MasterYear,Form Number,District,OperatorNumber,DateofLoss,Type_Company_Cd,County,LeaseNumber,Gasident,CommNbr,TypeLiquid,GrossLoss,Recovered,Net Loss,Facility,CauseofLoss,Remedy,Water,WaterName,Location,Remarks,LeaseName,FieldNumber
2010,1068,8,"PLAINS MARKETING, L.P.",1/1/2010,Transporter,ECTOR,0,0,0,Crude,15,10,5,Pipe Line,Corrosion - Rust,Other,None,,GPS: N32.0634 W 102.7509,SOIL REMEDIATION PLAN IN PROGRESS.,CRAWAR FIELD UNIT,NO FIELD NAME
2010,19,6E,DANMARK OPERATING COMPANY LLC,1/2/2010,Producer,REAGAN,8388,0,0,Crude,40,38,2,Tank Battery,Other,Other,Creek,UNNAMED,MOSLEY SURVEY A-153,UNKNOWN CAUSE OF LEAK. AREA REMEDIATED.,"MOORE, BOSTON",EAST TEXAS
2010,3,3,GAITHER PETROLEUM CORPORATION,1/2/2010,Producer,HARRIS,23647,0,0,Crude,25,20,5,Tank Battery,Equipment Failure,Other,Creek,WILLOWCREEK,A.SENCHAL A-722,CREEK WAS REMEDIATED AND AREA REMEDIATED.,TOMBALL GAS UNIT #18,TOMBALL (KOBS)
2010,26,9,ENBRIDGE GATHERING(NORTHTEXAS)LP,1/2/2010,Other,JACK,0,0,0,Products,12,11,1,Flow Line,Corrosion - Rust,Other,Creek,UNNAMED,LATITUDE 33 DEG 10 MIN 8.03 SEC LONGITUDE 98 DEG 15 MIN 19.39 SEC ,REMEDIATION OF SOIL AND WATER IS ONGOING.,"YATES, G.H.",NO FIELD NAME
2010,870,8A,OXY USA WTP LP,1/3/2010,Producer,GAINES,66714,0,0,Crude,10,0,10,Tank Battery,Equipment Failure,Other,None,,"T.E. SPARKS CTB, RRC#66714",SOIL REMEDIATED TO RRC REQUIREMENTS,"SPARKS, T. E.","JENKINS, NORTH (CLEAR FORK)"
2010,601,6,"MARKWEST ENERGY E TX GAS CO, LLC",1/4/2010,Transporter,PANOLA,0,0,0,Gas Well Liquid,10,10,0,Other,Corrosion - Rust,Other,Creek,CANEYCREEK,"N 32DEG. 12' 05"", W 094DEG. 27',42""",VACUUMED FREE FLUID AND REMEDIATED SOIL AND WATER.,FULLER DORWARD UNIT,NO FIELD NAME
2010,744,10,"LINN OPERATING, INC.",1/4/2010,Producer,POTTER,0,0,1208,Products,7,2,5,Pipe Line,Equipment Failure,Other,None,,"TURKEY CREEK DRIP N. FACILITY 12""",REMOVED,"NEWTON ""B""",NO FIELD NAME
2010,51,5,XTO ENERGY INC.,1/4/2010,Producer,HENDERSON,0,33333,0,Crude,60,60,0,Flow Line,Corrosion - Rust,Other,None,,HESTSELBERGER JOHN AB5358-95.740016 32.32344,VACUUMED OIL AND BIOSORBED CONTAMINATED AREA.SITE REMEDIATED.,"DODSON, ROY",OPELIKA (RODESSA)
2010,1057,8,PLAINS PIPELINE L.P.,1/6/2010,Transporter,STERLING,0,0,0,Crude,9,8,1,Tank Battery,Equipment Failure,Other,None,,GPS: N32.0634 W102.7509,SOIL REMEDIATION PLAN IN PROGRESS.,WILBORN,NO FIELD NAME
2010,745,10,"LINN OPERATING, INC.",1/7/2010,Producer,HUTCHINSON,4797,0,0,Crude,15,13,2,Tank Battery,Equipment Failure,Other,None,,CONTAINMENT AREA FOR HEATER TREATER & FREE WATER KNOCK OUT.,REMOVED FREE FLUIDS. PREFEX ENERGY REMEDIATED AND SAMPLED AREA.,HUTH,PANHANDLE HUTCHINSON COUNTY FLD.
2010,643,8A,OCCIDENTAL PERMIAN LTD.,1/8/2010,Producer,GAINES,18910,0,0,Crude,10,9,1,Tank Battery,Act of God,Other,None,,DENVER UNIT,FREEZING CONDITIONS CAUSED LINE TO FAIL. VACUUMED & REMEDIATING.,DENVER UNIT,WASSON
2010,91,7C,BP AMERICA PRODUCTION COMPANY,1/8/2010,Producer,UPTON,7664,0,0,Crude,66,40,26,Tank Battery,Equipment Failure,Other,None,NONE,"SEC. 8, GC & SF RR CO.",VACUUMED FREE FLUID AND REMEDIATION IN PROGRESS.,"NEAL ""B""",BENEDUM (FUSSELMAN)
2010,14,7C,"DEVON ENERGY PRODUCTION CO, L.P.",1/8/2010,Producer,CROCKETT,12810,0,0,Crude,175,50,125,Tank Battery,Equipment Failure,Other,None,,"SEC. 29 BLK. QR, ELRR CO.",SOIL EXCAVATED AND MIXED W/CLEAN. REMEDIATION IS IN PROGRESS,COUCH 29,OZONA (CANYON SAND)
2010,2,7B,"BASA RESOURCES, INC.",1/8/2010,Producer,STEPHENS,13213,0,0,Crude,161,141,20,Pipe Line,Corrosion - Rust,Repaired Existing Equipment,None,,WATKINS NOBLE SURVEY A-1337,REPLACED STEEL BOLTS ON SLEEVE. REMEDIATED SOIL.,ELIASVILLE (CADDO) UNIT,STEPHENS COUNTY REGULAR
2010,617,8,OXY USA INC.,1/9/2010,Producer,WINKLER,39556,0,0,Crude,6,5,1,Flow Line,Equipment Failure,Other,None,,"SEC. 26, BLK 20, UTS SURVEY",WILL REMOVE AND REMEDIATE SOIL AND REPLACE.,UNIVERSITY 20-26,TWO GEORGES (BONE SPRING)
2010,25,6,FOREST OIL CORPORATION,1/9/2010,Producer,HARRISON,0,219311,0,Gas Well Liquid,53,20,33,Pipe Line,Equipment Failure,Other,None,,"FOREST TEXAS GATHERING COMPANY, WOODLAWN, SW CPD (DRIP STATION)",VACUUMED FREE FLUID AND REMEDIATED SOIL.,"YATES, G.H.","WOODLAWN, SW. (COTTON VALLEY)"
2010,8,2,APACHE CORPORATION,1/9/2010,Producer,DE WITT,0,119308,0,Crude,25,25,0,Tank Battery,Equipment Failure,Other,None,,STOCK TANKS AT GUN POINT DRIP STATION,VACUUMED FREE FLUID AND ON SITE REMEDIATION IN PROCESS.,"BLAIN, LOVEL A III","GUN POINT (WILCOX LOWER, GRAY)"
2010,746,10,"CHESAPEAKE OPERATING, INC.",1/10/2010,Producer,WHEELER,0,200970,0,Crude,25,15,10,Tank Battery,Equipment Failure,Other,None,,"SEC.1, BLK A3, H&TC RR CO., A-195, 527 FNL & 1950 FWL",VACUUMED FREE FLUID. PREFEX ENERGY TO REMEDIATE.,ATHERTON,STILES RANCH (GRANITE WASH CONS)
2010,22,9,BRIDWELL OIL CO.,1/10/2010,Producer,JACK,11439,0,0,Crude,160,142,18,Tank Battery,Equipment Failure,Other,None,,"IRR CO, A-966",REMOVED CONTAMINATED SOIL AND REPLACED WITH CLEAN SOIL,ISAMINGER,JACK COUNTY REGULAR
