MasterYear,Form Number,District,OperatorNumber,DateofLoss,Type_Company_Cd,County,LeaseNumber,Gasident,CommNbr,TypeLiquid,GrossLoss,Recovered,Net Loss,Facility,CauseofLoss,Remedy,Water,WaterName,Location,Remarks,LeaseName,FieldNumber
2013,1148,8,OXY USA WTP LP,12/31/2013,Producer,ECTOR,0,130405,0,Crude,10,0,10,Tank Battery,Corrosion - Rust,Other,None,,"SEC.18, BLK. 45, T-1-S SURVEY CO.",PICKED UP FLUID AND MIX AND TIL SOIL.,TXL DEVONIAN MAIN PAY UNIT,TXL (DEVONIAN-MAIN PAY)
2013,1030,7C,DIAMONDBACK E&P LLC,12/31/2013,Producer,UPTON,18039,0,0,Crude,100,60,40,Tank Battery,Equipment Failure,Other,None,,"N 31 DEG. 14'0.47"", W 101 DEG. 53' 31.38""",VACUUMED FREE FLUID AND REMEDIATION PLAN IN PROGRESS,EAST RANKIN UNIT 58-3,SPRABERRY (TREND AREA)
2013,1154,8A,OCCIDENTAL PERMIAN LTD.,12/31/2013,Producer,YOAKUM,66222,0,0,Crude,20,0,20,Tank Battery,Equipment Failure,Other,None,,CENTRAL TANK BATTERY,SOIL REMEDIATION PLAN IN PROGRESS,CENTRAL OWNBY UNIT,"OWNBY (CLEAR FORK, UPPER)"
2013,1156,8,"LAREDO PETROLEUM, INC.",12/31/2013,Producer,GLASSCOCK,40834,0,0,Crude,70,70,0,Tank Battery,Equipment Failure,Other,None,,33HU TANK BATTERY,VACUUMED FREE FLUID AND REMEDIATE AREA.,J.E. COX,SPRABERRY (TREND AREA)
2013,1122,8,APACHE CORPORATION,12/30/2013,Producer,GLASSCOCK,42177,0,0,Crude,8,5,3,Tank Battery,Equipment Failure,Other,None,,"WELL #9009H (LAT. 31.9901, LONG. -101.4704)",SOIL REMEDIATION PLAN IN PROGRESS,SQUIRE,"GARDEN CITY, S. (WOLFCAMP)"
2013,1123,8,APACHE CORPORATION,12/30/2013,Producer,GLASSCOCK,42177,0,0,Crude,10,8,2,Tank Battery,Company Human Error,Other,None,,"LAT. 31.9901, LONG.-101.4704",SOIL REMEDIATION PLAN IN PROGRESS,SQUIRE,"GARDEN CITY, S. (WOLFCAMP)"
2013,1124,8,APACHE CORPORATION,12/30/2013,Producer,GLASSCOCK,42177,0,0,Crude,12,0,12,Flow Line,Company Human Error,Other,None,,"LAT.31.9854, LONG. -101.4754",SOIL REMEDIATION PLAN IN PROGRESS,SQUIRE,"GARDEN CITY, S. (WOLFCAMP)"
2013,1131,8,"ATLAS PL MID-CONT. WESTTEX, LLC",12/30/2013,Other,IRION,0,0,0,Crude,6,0,6,Pipe Line,Company Human Error,Other,None,,"SEC. MIDKIFF SE, BLK. 43, SURVEY 37- T5S",AREA REMEDIATED AND PIPELINE REPAIRED,CORTES,NO FIELD NAME
2013,1086,8A,"WALSH PETROLEUM, INC.",12/30/2013,Producer,HOCKLEY,65642,0,0,Products,25,23,2,Tank Battery,Corrosion - Rust,Other,None,,WATERFLOOD STATION,REMEDIATION PLAN IN PROGRESS,DURRETT,"YELLOWHOUSE, S. (SAN ANDRES)"
2013,1368,2,BHP BILLITON PET(TXLA OP) CO,12/30/2013,Producer,LIVE OAK,10438,0,0,Gas Well Liquid,10,0,10,Valve,Equipment Failure,Other,None,,"SURVEY JURDIN, E, ABS 18",FIRE WAS PUT OUT BY LOCAL POLICE/FIRE DEPARTMENT,HAUGLUM,EAGLEVILLE (EAGLE FORD-2)
2013,1187,1,ENERGY TRANSFER COMPANY,12/30/2013,Transporter,DIMMIT,0,0,795,Gas Well Liquid,400,385,15,Pipe Line,Company Human Error,Other,None,,DEHYDRATION FACILITY. PART OF GATHERING SYSTEM,EXCAVATED SOIL AND REMEDIATED AREA.,CATY UNIT,NO FIELD NAME
2013,1138,8,"ENERVEST OPERATING, L.L.C.",12/29/2013,Producer,ANDREWS,42271,0,0,Crude,24,24,0,Tank Battery,Equipment Failure,Other,None,,"32.3656, -102.3390",VACUUMED FREE FLUID AND REMEDIATED AREA.,UNIVERSITY 8-16,SPRABERRY (TREND AREA)
2013,1067,7C,"PIONEER NATURAL RES. USA, INC.",12/29/2013,Producer,UPTON,4088,0,0,Crude,70,65,5,Tank Battery,Equipment Failure,Other,None,,"15.5 MI. NE OF RNAKIN, TX N 31.429715, W101.837585",NOVA TO REMEDIATE.,PEMBROOK UNIT,SPRABERRY (TREND AREA)
2013,1068,7C,"PIONEER NATURAL RES. USA, INC.",12/28/2013,Producer,REAGAN,16589,0,0,Crude,10,7,3,Tank Battery,Equipment Failure,Other,None,,N31.287661 W-101.748199,FREE FLUID REMOVED AND SOIL REMEDIATED.,"UNIVERSITY ""2-20""",SPRABERRY (TREND AREA)
2013,1074,7C,ATLAS OPERATING LLC,12/28/2013,Producer,RUNNELS,365,0,0,Crude,4,0,4,Pump Station or Terminal,Equipment Failure,Other,None,,"SEC.7, A265 HT&B SURVEY",REMEDIATED AREA WITH BIO-REMEDIAL ABSORBENT.,CREE SYKES UNIT,"CREE-SYKES (GARDNER, UPPER)"
2013,1087,8A,"WALSH PETROLEUM, INC.",12/28/2013,Producer,YOAKUM,19640,0,0,Crude,15,14,1,Tank Battery,Corrosion - Rust,Other,None,,SARELLITE #3,CONTAMINATED SOIL REMEDIATION PLAN IN PROGRESS,WEST BRAHANEY UNIT,BRAHANEY
