MasterYear,Form Number,District,OperatorNumber,DateofLoss,Type_Company_Cd,County,LeaseNumber,Gasident,CommNbr,TypeLiquid,GrossLoss,Recovered,Net Loss,Facility,CauseofLoss,Remedy,Water,WaterName,Location,Remarks,LeaseName,FieldNumber
2011,37,8,MOBIL PRODUCING TX. & N.M. INC.,1/2/2011,Producer,PECOS,0,174552,0,Gas Well Liquid,15,0,15,Tank Battery,Equipment Failure,Other,None,,LAT. 31-16-084 LONG. 103-04-723,FREE FLUID RECOVERED. REMEDIATION PLAN IN PROGRESS.,"MOORE, WAYNE",WAHA (MONTOYA FB-3)
2011,20,6,"SAMSON LONE STAR, LLC",1/3/2011,Producer,NACOGDOCHES,0,192290,0,Gas Well Liquid,114,104,10,Tank Battery,Equipment Failure,Other,None,,J WILSON A-59 SURVEY,VACUUMED FREE FLUID FROM FIREWALL. REMEDIATION PLAN IN PROGRESS.,DOUGLASS GU 8,"DOUGLASS, W. (TRAVIS PEAK)"
2011,3,9,BURLINGTON RESOURCES O & G CO LP,1/4/2011,Producer,DENTON,0,246404,0,Gas Well Liquid,23,23,0,Other,Corrosion - Rust,Other,None,,LAT. 33.284353 LONG. -97.308453,VACUUM TRUCK TRANSFERRED CONDENSATE TO OTHER TANK.,"MILLER, JANA UNIT","NEWARK, EAST (BARNETT SHALE)"
2011,29,8,APACHE CORPORATION,1/4/2011,Producer,CRANE,20377,0,0,Crude,30,28,2,Tank Battery,Equipment Failure,Other,None,,MAIN PRODUCTION HEADER,RELEASE WITHIN FIREWALL.SOIL EXCAVATED. SOIL SAMPLES PENDING.,NORTH MCELROY UNIT,MCELROY
2011,1,7C,"PIONEER NATURAL RES. USA, INC.",1/5/2011,Producer,IRION,14573,0,0,Crude,35,30,5,Tank Battery,Company Human Error,Other,None,,31.312521 -101.221879,SOIL REMEDIATION PLAN IN PROGRESS.,"ROCKER ""B""",SPRABERRY (TREND AREA)
2011,44,8,"PLAINS MARKETING, L.P.",1/5/2011,Transporter,GLASSCOCK,0,0,0,Crude,10,3,7,Pipe Line,Theft,Other,None,,GPS: N 32.07373 W 101.32772,SOIL REMEDIATIO PLAN IN PROGRESS.,"STONE ""39""",NO FIELD NAME
2011,549,8,"CROWNQUEST OPERATING, LLC",1/5/2011,Producer,MARTIN,40832,0,0,Crude,88,85,3,Separator-Gun Barrel-Treater,Company Human Error,Other,None,,"660'FNL & 660'FEL, SECTION 41, BLK 34, T&P RR CO. SURVEY",SPILL WAS CONTAINED IN FIREWALL AND AREA REMEDIATED.,"BURROWS ""41""",SPRABERRY (TREND AREA)
2011,578,7C,"STAR PRODUCTION, INC.",1/5/2011,Producer,TOM GREEN,16817,0,0,Crude,115,39,76,Tank Battery,Equipment Failure,Other,Other,WATERWELL,"SEC. 117, DIST. 11, SPRR SURVEY",SOIL REMEDIATION PLAN IN PROGRESS. WATER WELL MONITORING IN PLACE ,BOOK,BUENA VENTURA (CISCO)
2011,45,8A,PLAINS PIPELINE L.P.,1/6/2011,Transporter,GAINES,0,0,0,Crude,12,3,9,Pipe Line,Corrosion - Rust,Other,Other,GROUNDWATER,GPS: N 32.65430 W -102.5691170,DURING EXCAVATION GWATER ENCOUNTERED. AREA WAS REMEDIATED.,"STONE ""39""",NO FIELD NAME
2011,2,7B,"PLANTATION OPERATING, LLC",1/9/2011,Producer,NOLAN,8712,0,0,Crude,12,8,4,Flow Line,Equipment Failure,Other,None,,SEC. 79 BLK 22 T&P RR CO,VACUUMED FREE FLUID. SOIL REMEDIATION PLAN IN PROGRESS.,LAKE TRAMMEL UNIT,"LAKE TRAMMEL, W. (CANYON)"
2011,630,10,UNIT PETROLEUM COMPANY,1/9/2011,Producer,HEMPHILL,0,258212,0,Gas Well Liquid,7,6,1,Tank Battery,Company Human Error,Other,None,,"SECTION 1, J.CAULK SURVEY A-29",VACUUMED FREE FLUID AND REMEDIATED AREA.,"SHALLER, FRANK",HEMPHILL (GRANITE WASH.)
2011,395,8,APACHE CORPORATION,1/11/2011,Producer,ECTOR,26002,0,0,Crude,70,60,10,Valve,Well Blow Out,Other,None,,DOWN LEASE ROAD,REMEDIATION PLAN IN PROGRESS.,STATE OF TEXAS -DC-,CAPRITO (DELAWARE MIDDLE)
2011,23,7C,APACHE CORPORATION,1/11/2011,Producer,UPTON,17037,0,0,Crude,20,15,5,Tank Battery,Equipment Failure,Other,None,,CC 37 RRC LEASE 17037,VACUUMED FREE FLUID. SOIL REMEDIATION PLAN IN PROGRESS.,CC,SPRABERRY (TREND AREA)
2011,30,8,APACHE CORPORATION,1/11/2011,Producer,CRANE,25455,0,0,Products,70,60,10,Tank Battery,Well Blow Out,Other,None,,DOWN LEASE ROAD.,SITE IS BEING BLENDED. REMEDIATION ONGOING.,TXL,"COWDEN, NORTH"
2011,631,10,BP AMERICA PRODUCTION COMPANY,1/11/2011,Producer,LIPSCOMB,2933,0,0,Crude,8,7,1,Tank Battery,Equipment Failure,Other,None,,"SEC.764, BLK. 43, H&TC SURVEY, LIPSCOMB COUNTY, TEXAS",SOIL REMEDIATION COMPLETED.,WHEAT,"KIOWA CREEK (MORROW, UPPER-OIL)"
2011,75,8,"PIONEER NATURAL RES. USA, INC.",1/12/2011,Producer,GLASSCOCK,15400,0,0,Crude,8,0,8,Stuffing Box,Equipment Failure,Other,None,,15 MI. SW OF GARDEN CITY. N31 41.042' W 101 37.697',REMEDIATION PLAN IN PROGRESS.,SPRABERRY DRIVER UNIT,SPRABERRY (TREND AREA)
2011,46,8A,SAUDER MANAGEMENT COMPANY,1/12/2011,Producer,KING,69073,0,0,Crude,5,0,5,Flow Line,Equipment Failure,Other,None,,"SEC. 191, BLK F, H&TC RR CO. SURVEY",AREA REMEDIATION PLAN IN PROGRESS.,SPRINGER 191-C,CHRISTOPHER (LOWER TANNEHILL)
2011,27,8,APACHE CORPORATION,1/12/2011,Producer,WARD,26002,0,0,Crude,480,420,60,Tank Battery,Corrosion - Rust,Other,None,,TANK BATTERY,VACUUMED FREE FLUID. REMEDIATION PLAN IN PROGRESS.,STATE OF TEXAS -DC-,CAPRITO (DELAWARE MIDDLE)
2011,54,6,"EXCO OPERATING COMPANY, LP",1/12/2011,Producer,HARRISON,0,124935,0,Gas Well Liquid,88,88,0,Tank Battery,Equipment Failure,Installed New Equipment,None,,TANK BATTERY,VACUUMED FREE FLUID. REMEDATED AREA. WAITING FOR FINAL SOIL SAMPLE,MITCHELL,WASKOM (BELL ZONE)
2011,632,10,APACHE CORPORATION,1/12/2011,Producer,WHEELER,0,232182,0,Gas Well Liquid,60,15,45,Tank Battery,Equipment Failure,Other,None,,SEC. 1-AB&M SURVEY,RECOVERED FREE FLUID. REMEDIATED AREA.,STILES 1,STILES RANCH (GRANITE WASH CONS)
2011,84,8,COG OPERATING LLC,1/13/2011,Producer,MARTIN,29447,0,0,Crude,25,25,0,Tank Battery,Equipment Failure,Other,None,,"SEC. 23, BLK. 37, T-2-N, T&P RR CO.",VACUUMED FREE FLUID AND SOIL REMEDIATION IN PROGRESS.,MAYS,SPRABERRY (TREND AREA)
